ボーン名	フレーム	位置X	位置Y	位置Z	回転X	回転Y	回転Z	X_x1	X_y1	X_x2	X_y2	Y_x1	Y_y1	Y_x2	Y_y2	Z_x1	Z_y1	Z_x2	Z_y2	R_x1	R_y1	R_x2	R_y2
センター	0	2.8	0	0.75	0	0	0	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
上半身	0	0	0	0	2.439002	-13.537052	10.023719	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
上半身2	0	0	0	0	-3.782947	-2.2365	-11.399502	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
首	0	0	0	0	-3.437746	0	0	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
頭	0	0	0	0	-6.302536	0	0	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左目	0	0	0	0	0	0	0	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
右目	0	0	0	0	0	0	0	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
両目	0	0	0	0	0	0	0	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左肩	0	0	0	0	-14.8969	-11.459153	0.000001	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左腕	0	0	0	0	-24.428394	12.620524	-5.379971	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左腕捩	0	0	0	0	-3.635262	2.792092	-0.200308	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左ひじ	0	0	0	0	35.547985	109.798691	49.036545	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左手捩	0	0	0	0	-8.205974	6.266189	-0.262142	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左手首	0	0	0	0	7.321577	7.314263	3.840202	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
右肩	0	0	0	0	-16.240513	12.540167	-3.559615	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
右腕	0	0	0	0	-21.637724	-19.317217	28.001728	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
右腕捩	0	0	0	0	-13.529206	-10.694472	1.708373	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
右ひじ	0	0	0	0	36.429562	-76.367088	-29.019444	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
右手捩	0	0	0	0	7.279979	5.584419	0.522372	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左親指０	0	0	0	0	-5.844822	7.274663	-0.55295	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左親指１	0	0	0	0	-11.18641	-5.443448	-1.591962	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左親指２	0	0	0	0	-9.679163	-6.607776	-2.244653	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左人指１	0	0	0	0	2.571246	3.247802	-5.696434	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左人指２	0	0	0	0	0	0	-31.512653	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左人指３	0	0	0	0	0	0	-6.875496	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左中指１	0	0	0	0	2.588572	2.247763	-3.956103	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左中指２	0	0	0	0	0.000036	0.000109	-36.669212	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左中指３	0	0	0	0	0	0	-10.313295	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左薬指１	0	0	0	0	3.892715	2.421918	-12.52315	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
左薬指２	0	0	0	0	0	0	-27.501896	20	20	107	107	20	20	107	107	0	20	107	107	0	20	107	107
